Duration (in seconds),ResponseId,DistributionChannel,is_bu_student,is_graduate,baseline_score,individual_score,group_score,gender,years_experience,previous_team_project
42,R_35XHaxEPeU1hMPp,qr,1,1,5,6,,2,3,1
58,R_7wNav6h49UmPTi0,qr,1,1,2,8,,2,3,1
43,R_5fli0EH4qMKlsyd,qr,1,1,2,9,,1,2,1
58,R_7B9u1qzFAa80pqG,qr,1,1,0,,5,2,1,1
94,R_1i9UJzpBX76dsor,qr,1,1,9,,10,1,2,1
20,R_3v79tJKaZo1APxZ,anonymous,1,1,8,,8,1,2,1
58,R_1AlfymCGSHpE9Rn,qr,1,1,6,9,,1,4,1
64,R_1Mpu2BIdIUvBTi1,qr,1,1,6,,9,2,2,1
43,R_5trgZhf8V1ICyGK,qr,1,1,3,,3,1,4,1
41,R_63prz7GdtTEK7Vr,qr,1,1,0,0,,1,4,1
179,R_1r04VdVaOiSZeyA,anonymous,1,1,2,,9,2,1,1
22,R_7DZ0v5i1b6MMtoR,qr,1,1,10,10,,1,3,1
31,R_14CNCKll58pMJcl,qr,1,1,9,6,,1,2,1
46,R_6fT7cnZfLfPyHE0,qr,1,1,8,8,,1,2,1
44,R_1JIfxVBdahOhUk7,qr,1,1,8,,9,2,4,1
147,R_7iIU3Eg7p4xO2bf,qr,1,1,9,,8,1,1,1
137,R_1flt7KhgofthHqy,qr,1,1,9,9,,1,2,1
1421,R_7WVEJSzago7pHxv,qr,1,1,7,8,,1,2,0
39,R_6Bh8gltStjTqa5v,qr,1,1,1,,3,1,2,1
37,R_6dcyNH6VGUsp31m,qr,1,1,2,,5,2,1,1
40,R_3ElUCZ6u3J9h5xe,qr,1,1,7,3,,2,1,1
41,R_1I0M5QsV0m7b0S1,qr,1,1,0,,0,1,4,1
66,R_38ct9CqUJYg5qmJ,qr,1,1,0,3,,1,4,1
105,R_1gSNO698Dfm03YO,qr,1,1,4,8,,2,4,1
74,R_7EcTSQskMdcAzNV,qr,1,1,4,,6,1,2,1
77,R_5K4OeEHTDZ1Pmp3,qr,1,1,7,,8,2,2,1
33,R_1fZNB9h6hQBLbXx,anonymous,1,1,10,5,,2,4,1
29,R_7gMizaT57OimiQN,anonymous,1,1,6,,5,2,1,1
61,R_3mkssE38IaakAuD,anonymous,1,1,5,,8,2,1,1
63,R_4SNix5vUCnA5fLH,anonymous,1,1,10,10,,2,1,1
23116,R_3jSUNpWXdz9iOsK,qr,1,1,7,10,,2,4,1
31,R_5diOEQI8GAgssde,qr,1,1,10,10,,1,2,0
54,R_7oWUdllJLHemSu3,qr,1,1,5,,7,1,1,1
78,R_5K8BjJkLG2GqsCR,qr,1,1,6,,6,1,1,1
60,R_4jPNRB8PFHKr6ZX,anonymous,1,1,4,6,,2,1,1
35,R_71rSKvrQLLf42UV,anonymous,1,0,8,7,,1,1,1
41,R_7sRTXcOmSnN2Y82,anonymous,1,0,0,,6,1,2,1
49,R_5kG1tzoyMB1xBOM,anonymous,1,1,8,7,,1,1,1
45,R_5OAuxwQpIegjMrf,anonymous,1,0,7,,8,2,2,1
65,R_69p4APflTKQPnJn,anonymous,1,0,8,3,,1,1,1
100,R_6wFeWw5Ll3DUoW5,anonymous,1,0,7,5,,1,1,1
65,R_1DhcbfxSsj7jl9k,anonymous,1,1,5,,8,1,2,1
46,R_60Wjj0uG6s1pmoh,anonymous,1,0,3,4,,2,1,1
53,R_7ibuWt5nzLBTCBJ,anonymous,1,0,0,,7,2,1,1
40,R_3rdwFIY0Ajdrpap,anonymous,1,0,5,8,,1,2,1
47,R_7zXQoxar6NCRrZr,qr,1,1,7,10,,2,2,1
46,R_5DtPkEFgjJqGAqR,qr,1,1,7,,9,1,2,1
40,R_70JJYT8r2U9b1n6,qr,1,0,8,,10,2,1,1
45,R_3Xs0MnSK5iwG1wd,qr,1,0,3,5,,2,1,1
48,R_71zVVuDQ5VmdZ96,qr,1,0,3,5,,2,1,1
28,R_1NzMmyT9Od8KcIV,anonymous,1,1,6,,7,2,3,1
71,R_6ixmHFIzACva5dh,qr,1,0,6,,8,2,1,1
26,R_5dN3uToxBB4VYEg,qr,1,0,2,4,,2,1,0
58,R_63eau3KZSB1ebiY,qr,1,0,7,5,,2,1,0
60,R_5Bi0OGACcsHcPZf,qr,1,0,7,8,,2,1,1
72,R_5qBPOZec0kZ8efQ,qr,1,0,8,,9,3,1,1
84,R_5kogAMPabTkBEHR,qr,1,0,7,,9,2,2,1
71,R_72M6UYmvj0rPY8o,qr,1,0,7,,9,2,2,1
69,R_6OT5TUKzpSVHt4f,qr,1,0,5,8,,2,1,1
69,R_3Nf7mRsb7TQcY13,qr,1,0,8,3,,2,2,1
57,R_53l0fcN6gvLwd9f,qr,1,0,6,7,,2,2,1
66,R_3FQlz17H1Fjje9t,qr,1,0,7,,9,2,3,1
66,R_36haDjoH9mi8Jmu,qr,1,0,4,,7,1,2,1
68,R_3IuwOGfg62y5gxb,qr,1,0,2,7,,2,2,1
103,R_6RPbzq1BCerMJYf,qr,1,0,8,,9,2,2,1
62,R_61ywF4rSxWiImvO,qr,1,0,3,,3,2,3,1
58,R_3YtgVwVTXVjmUEo,qr,1,0,7,6,,1,1,1
52,R_39WdCAkbiIHiq65,qr,1,0,4,,8,1,2,1
42,R_542ADixifzp7TaD,qr,1,0,6,3,,1,2,1
49,R_5pDowftj9hGWjgE,qr,1,0,2,,5,1,1,0
54,R_3fCY1uKpV0DZQ8v,qr,1,0,10,10,,3,4,1
59,R_1D9L5UNbivVIMH7,qr,1,0,10,,10,1,1,1
28,R_6qs3HMUo4eyQ86J,qr,1,0,1,8,,2,1,0
86,R_1dQgJ3yMSQwBSaY,qr,1,0,10,8,,2,1,1
54,R_1yOH1edzGhlPBCx,qr,1,0,8,,8,2,1,1
56,R_1QQ2osgrOT2qPMO,qr,1,0,2,8,,2,2,1
51,R_1VjCK8KzgdXvEb3,qr,1,0,6,9,,2,1,1
70,R_7K9oxT9xjDP7HeG,qr,1,0,9,7,,2,1,1
81,R_7szza42zHbuXeKk,qr,1,0,4,,6,2,1,0
60,R_7QVOXmO3y3lzu88,qr,1,0,5,,9,2,2,1
51,R_1tD2dh4SUJGkX4k,anonymous,1,1,5,,7,2,2,1
36,R_6nUYq6H0kUckVop,qr,1,0,0,3,,1,4,1
43,R_1f19qgvQzYsxPnH,qr,1,0,8,9,,2,1,1
36,R_1vOfmCrh4Y14OIx,qr,1,0,6,9,,2,1,1
46,R_1ta5H3haap2jKk9,qr,1,1,3,,6,2,1,1
53,R_1iSGKVw0G8FcvXb,qr,1,0,6,,7,2,1,1
66,R_13gFswVt1XFVt5z,qr,1,0,7,,8,2,2,1
41,R_1fixENTGc61hN1i,qr,1,0,2,8,,2,1,0
72,R_63jusFXALvGK55M,qr,1,0,8,8,,1,1,1
67,R_5FsJpDcHb6EDLPM,qr,1,0,3,,6,2,1,1
31,R_5i20Cas96v98MIB,qr,1,0,7,,8,2,1,1
74,R_3JBnyv79t71dAL7,qr,1,0,3,,6,2,1,1
99,R_1jDGCbE82mWNc6L,qr,1,0,7,10,,2,2,1
94,R_6Rbm88fxFnghF29,qr,1,0,3,5,,2,1,1
51,R_71FLC6EPUlXMtZv,qr,1,0,3,,8,2,2,1
89,R_71TN4kBjXHpnydj,qr,1,0,1,6,,2,3,1
83,R_7R7A1aLZUxmz7uL,qr,1,0,4,,8,2,1,1
196,R_5YK6ITchP7hCrsu,qr,1,1,2,,3,2,1,1
34,R_5K3JHWkvVkBUGoV,anonymous,1,1,6,7,,1,3,1
41,R_4GVQpfoOjA7FwbW,anonymous,1,1,10,5,,1,4,1
19,R_5ltc2qYxctuw4Ux,anonymous,1,1,7,,7,2,2,1
53,R_6ZmMjXnlM8igeSl,anonymous,1,1,7,6,,1,2,1
53,R_4QsRXvZI4vEVzXT,anonymous,1,0,10,,8,1,1,0
50,R_4LGw8U2SwGnyyZj,anonymous,1,1,8,,7,1,3,1
69,R_3R7vppdefJhVW4g,anonymous,1,1,3,5,,2,3,1
36,R_8annFg09af2xi4H,anonymous,1,1,0,,0,4,4,1
39,R_4DFNkcScLkDc7TD,anonymous,1,1,1,1,,4,3,1
39,R_7LehDvyoKevMMwZ,anonymous,1,1,10,,10,2,2,1
90,R_4283YjqUmn9L3UJ,anonymous,1,1,0,,1,4,4,0
49,R_7GiXpfZMAh9Ny5d,anonymous,1,1,8,9,,2,2,1
